X,Função W(x)
156.5,3.7352431051263437
157.0,3.737759450773644
157.5,3.740268151221794
158.0,3.742769253484411
158.5,3.7452628041400415
159.0,3.747748849337533
159.5,3.750227434801321
160.0,3.7526986058366374
160.5,3.7551624073346375
161.0,3.7576188837774476
161.5,3.7600680792431374
162.0,3.762510037410618
162.5,3.7649448015644618
163.0,3.7673724145996537
163.5,3.7697929190262687
164.0,3.77220635697408
164.5,3.774612770197096
165.0,3.777012200078036
165.5,3.7794046876327316
166.0,3.7817902735144657
166.5,3.784168998018252
167.0,3.7865409010850413
167.5,3.7889060223058793
168.0,3.7912644009259906
168.5,3.7936160758488113
169.0,3.795961085639961
169.5,3.7982994685311544
170.0,3.80063126242406
170.5,3.802956504894101
171.0,3.8052752331942035
171.5,3.8075874842584874
172.0,3.8098932947059065
172.5,3.812192700843839
173.0,3.8144857386716233
173.5,3.8167724438840445
174.0,3.819052851874773
174.5,3.8213269977397535
175.0,3.8235949162805465
175.5,3.825856642007623
176.0,3.8281122091436126
176.5,3.8303616516265087
177.0,3.8326050031128256
177.5,3.834842296980713
178.0,3.8370735663330295
178.5,3.8392988440003726
179.0,3.841518162544064
179.5,3.843731554259099
180.0,3.845939051177052
180.5,3.8481406850689446
181.0,3.850336487448071
181.5,3.852526489572792
182.0,3.8547107224492825
182.5,3.85688921683425
183.0,3.859062003237609
183.5,3.861229111925128
184.0,3.8633905729210336
184.5,3.865546416010582
185.0,3.8676966707425997
185.5,3.8698413664319866
186.0,3.8719805321621856
186.5,3.8741141967876245
187.0,3.8762423889361193
187.5,3.8783651370112513
188.0,3.88048246919471
188.5,3.8825944134486057
189.0,3.8847009975177533
189.5,3.8868022489319256
190.0,3.888898195008078
190.5,3.890988862852542
191.0,3.8930742793631943
191.5,3.895154471231596
192.0,3.8972294649451027
192.5,3.899299286788951
193.0,3.901363962848316
193.5,3.903423519010344
194.0,3.9054779809661575
194.5,3.907527374212837
195.0,3.9095717240553767
195.5,3.911611055608615
196.0,3.913645393799144
196.5,3.915674763367187
197.0,3.9176991888684647
197.5,3.9197186946760274
198.0,3.9217333049820686
198.5,3.9237430437997176
199.0,3.925747934964807
199.5,3.92774800213762
200.0,3.9297432688046174
