X,Log base 2
196.0,7.614709844115208
196.5,7.618385502258606
197.0,7.622051819456376
197.5,7.625708843064465
198.0,7.6293566200796095
198.5,7.632995197142958
199.0,7.636624620543649
199.5,7.640244936222346
200.0,7.643856189774724
200.5,7.647458426454921
201.0,7.651051691178929
201.5,7.6546360285279675
202.0,7.658211482751795
202.5,7.661778097771987
203.0,7.6653359171851765
203.5,7.668884984266247
204.0,7.672425341971495
204.5,7.675957032941749
205.0,7.679480099505446
205.5,7.682994583681683
206.0,7.6865005271832185
206.5,7.689997971419445
207.0,7.693486957499325
207.5,7.696967526234287
208.0,7.700439718141092
208.5,7.703903573444664
209.0,7.7073591320808825
209.5,7.710806433699352
210.0,7.714245517666122
210.5,7.717676423066396
211.0,7.721099188707185
211.5,7.72451385311995
212.0,7.727920454563199
212.5,7.731319031025064
213.0,7.734709620225838
213.5,7.73809225962049
214.0,7.741466986401147
214.5,7.744833837499546
215.0,7.7481928495894605
215.5,7.751544059089098
216.0,7.754887502163468
216.5,7.7582232147267245
217.0,7.7615512324444795
217.5,7.764871590736091
218.0,7.768184324776926
218.5,7.771489469500598
219.0,7.774787059601174
219.5,7.778077129535358
220.0,7.78135971352466
220.5,7.7846348455575205
221.0,7.787902559391432
221.5,7.791162888555018
222.0,7.794415866350106
222.5,7.79766152585376
223.0,7.800899899920305
223.5,7.804131021183318
224.0,7.807354922057604
224.5,7.810571634741147
225.0,7.813781191217037
225.5,7.816983623255381
226.0,7.820178962415188
226.5,7.8233672400462355
227.0,7.826548487290915
227.5,7.829722735086059
228.0,7.832890014164741
228.5,7.836050355058069
229.0,7.839203788096944
229.5,7.842350343413808
230.0,7.845490050944375
230.5,7.848622940429338
231.0,7.851749041416057
231.5,7.854868383260237
232.0,7.857980995127572
232.5,7.861086905995394
233.0,7.864186144654281
233.5,7.867278739709662
234.0,7.870364719583405
234.5,7.873444112515377
235.0,7.876516946564999
235.5,7.879583249612783
236.0,7.882643049361842
236.5,7.885696373339395
237.0,7.888743248898259
237.5,7.8917837032183105
238.0,7.894817763307944
238.5,7.897845456005512
239.0,7.900866807980749
239.5,7.90388184573618
240.0,7.906890595608519
240.5,7.909893083770042
241.0,7.912889336229962
241.5,7.915879378835773
242.0,7.918863237274595
242.5,7.92184093707449
243.0,7.924812503605781
243.5,7.9277779620823425
244.0,7.930737337562887
244.5,7.933690654952234
245.0,7.936637939002571
245.5,7.939579214314693
246.0,7.94251450533924
246.5,7.945443836377912
247.0,7.948367231584678
247.5,7.951284714966972
248.0,7.954196310386875
248.5,7.957102041562286
249.0,7.960001932068081
249.5,7.96289600533726
250.0,7.965784284662087
250.5,7.968666793195208
251.0,7.971543553950772
251.5,7.974414589805527
252.0,7.977279923499917
252.5,7.980139577639157
253.0,7.98299357469431
253.5,7.98584193700334
254.0,7.9886846867721655
254.5,7.991521846075695
255.0,7.994353436858858
255.5,7.997179480937621
256.0,8.0
256.5,8.002815015607053
257.0,8.005624549193879
257.5,8.00842862207058
258.0,8.011227255423254
258.5,8.014020470314934
259.0,8.016808287686555
259.5,8.019590728357882
260.0,8.022367813028454
260.5,8.025139562278508
261.0,8.027905996569885
261.5,8.030667136246942
262.0,8.03342300153745
262.5,8.036173612553485
263.0,8.038918989292302
263.5,8.041659151637214
264.0,8.044394119358454
264.5,8.047123912114026
265.0,8.049848549450562
265.5,8.052568050804153
266.0,8.055282435501189
266.5,8.057991722759176
267.0,8.060695931687555
267.5,8.06339508128851
268.0,8.066089190457772
268.5,8.068778277985412
269.0,8.071462362556623
269.5,8.074141462752506
270.0,8.076815597050832
270.5,8.079484783826816
271.0,8.08214904135387
271.5,8.084808387804362
272.0,8.087462841250339
272.5,8.090112419664289
273.0,8.092757140919852
273.5,8.095397022792557
274.0,8.098032082960527
274.5,8.100662339005199
275.0,8.103287808412022
275.5,8.105908508571158
276.0,8.108524456778168
276.5,8.111135670234708
277.0,8.113742166049189
277.5,8.116343961237469
278.0,8.118941072723507
278.5,8.121533517340032
279.0,8.124121311829187
279.5,8.12670447284319
280.0,8.129283016944967
280.5,8.131856960608793
281.0,8.134426320220927
281.5,8.13699111208023
282.0,8.139551352398794
282.5,8.14210705730255
283.0,8.144658242831882
283.5,8.147204924942228
284.0,8.149747119504681
284.5,8.152284842306582
285.0,8.154818109052105
285.5,8.157346935362844
286.0,8.159871336778389
286.5,8.162391328756906
287.0,8.164906926675688
287.5,8.167418145831737
288.0,8.169925001442312
288.5,8.172427508645482
289.0,8.174925682500678
289.5,8.177419537989236
290.0,8.179909090014934
290.5,8.18239435340453
291.0,8.184875342908283
291.5,8.187352073200497
292.0,8.189824558880018
292.5,8.192292814470767
293.0,8.194756854422248
293.5,8.197216693110052
294.0,8.199672344836364
