X,Logaritmo Natural
51.0,3.9318256327243257
51.5,3.9415818076696905
52.0,3.9512437185814275
52.5,3.960813169597578
53.0,3.970291913552122
53.5,3.979681653901961
54.0,3.9889840465642745
54.5,3.9982007016691985
55.0,4.007333185232471
55.5,4.0163830207523885
56.0,4.02535169073515
56.5,4.034240638152395
57.0,4.04305126783455
57.5,4.051784947803305
58.0,4.060443010546419
58.5,4.069026754237811
59.0,4.07753744390572
59.5,4.085976312551584
60.0,4.0943445622221
60.5,4.102643365036796
61.0,4.110873864173311
61.5,4.119037174812473
62.0,4.127134385045092
62.5,4.135166556742356
63.0,4.143134726391533
63.5,4.151039905898646
64.0,4.1588830833596715
64.5,4.1666652238017265
65.0,4.174387269895637
65.5,4.182050142641207
66.0,4.189654742026425
66.5,4.197201947661808
67.0,4.204692619390966
67.5,4.212127597878484
68.0,4.219507705176107
68.5,4.22683374526818
69.0,4.23410650459726
69.5,4.241326752570746
70.0,4.248495242049359
70.5,4.255612709818223
71.0,4.2626798770413155
71.5,4.269697449699962
72.0,4.276666119016055
72.5,4.283586561860629
73.0,4.290459441148391
73.5,4.297285406218791
74.0,4.30406509320417
74.5,4.310799125385514
75.0,4.31748811353631
75.5,4.324132656254979
76.0,4.330733340286331
76.5,4.33729074083249
77.0,4.343805421853684
77.5,4.350277936359301
78.0,4.356708826689592
78.5,4.363098624788363
79.0,4.3694478524670215
79.5,4.375757021660286
80.0,4.382026634673881
80.5,4.388257184424518
81.0,4.394449154672439
81.5,4.400603020246817
82.0,4.406719247264253
82.5,4.412798293340635
83.0,4.418840607796598
83.5,4.42484663185681
84.0,4.430816798843313
84.5,4.436751534363128
85.0,4.442651256490317
85.5,4.448516375942715
86.0,4.454347296253507
86.5,4.460144413937834
87.0,4.465908118654584
87.5,4.471638793363569
88.0,4.477336814478207
88.5,4.483002552013883
89.0,4.48863636973214
89.5,4.4942386252808095
90.0,4.499809670330265
90.5,4.505349850705881
91.0,4.51085950651685
91.5,4.516338972281476
92.0,4.5217885770490405
92.5,4.52720864451838
93.0,4.532599493153256
93.5,4.537961436294641
94.0,4.543294782270004
94.5,4.548599834499697
95.0,4.553876891600541
95.5,4.5591262474866845
96.0,4.564348191467836
96.5,4.56954300834494
97.0,4.574710978503383
97.5,4.579852378003801
98.0,4.584967478670572
98.5,4.590056548178043
99.0,4.59511985013459
99.5,4.600157644164547
100.0,4.605170185988092
100.5,4.61015772749913
101.0,4.61512051684126
101.5,4.620058798481842
102.0,4.624972813284271
102.5,4.629862798578463
103.0,4.634728988229636
103.5,4.639571612705423
104.0,4.6443908991413725
104.5,4.6491870714048655
105.0,4.653960350157523
105.5,4.658710952916121
106.0,4.663439094112067
106.5,4.66814498514948
107.0,4.672828834461906
107.5,4.677490847567717
108.0,4.68213122712422
108.5,4.686750172980514
109.0,4.6913478822291435
109.5,4.695924549256556
110.0,4.700480365792417
110.5,4.705015520957808
111.0,4.709530201312334
111.5,4.7140245909001735
112.0,4.718498871295094
112.5,4.722953221644475
113.0,4.727387818712341
113.5,4.7318028369214575
114.0,4.736198448394496
114.5,4.740574822994295
115.0,4.74493212836325
115.5,4.749270529961848
116.0,4.7535901911063645
116.5,4.757891273005756
117.0,4.762173934797756
117.5,4.7664383335842135
118.0,4.770684624465665
118.5,4.774912960575186
119.0,4.77912349311153
119.5,4.783316371371566
120.0,4.787491742782046
120.5,4.791649752930709
121.0,4.795790545596741
